"item_name_short"|"colour"|"item_name"|"producer"|"type"|"energy_class"|"energy_consumption"|"guarantee_month"|"width_cm"|"height_cm"|"depth_cm"|"weight_kg"|"n_doors"|"cooling_capacity_l"|"freezing_capacity_l"|"item_price_edigital"|"link_edigital"|"articleID_edigital"|"item_price_mediamarkt"|"link_mediamarkt"|"articleID_mediamarkt"|"website"|"common_item_id"
"AEG ABE81816NC"|"white"|"AEG ABE81816NC Beépíthetõ fagyasztószekrény, NoFrost, 178 cm, A+"|"AEG"|"Freezer"|"A+"|303|24|NA|NA|NA|NA|1|NA|204|219990|"https://edigital.hu/beepitheto-huto/aeg-abe81816nc-beepitheto-fagyasztoszekreny-nofrost-178-cm-p563079"|563079|NA|NA|NA|"edigital"|1
"AEG AGB62511NW"|"white"|"AEG AGB62511NW fagyasztószekrény"|"AEG"|"Freezer"|"A+"|292|12|60|190|70|71|1|NA|229|NA|NA|NA|154799|"https://www.mediamarkt.hu/hu/product/_aeg-agb62511nw-fagyaszt%C3%B3szekr%C3%A9ny-1255789.html"|1255789|"mediamarkt"|2
"AEG AGE52516NX"|"grey"|"AEG AGE52516NX No Frost fagyasztószekrény"|"AEG"|"Freezer"|"A+"|292|24|60|185|67|NA|1|NA|229|NA|NA|NA|154799|"https://www.mediamarkt.hu/hu/product/_aeg-age52516nx-no-frost-fagyaszt%C3%B3szekr%C3%A9ny-1255790.html"|1255790|"mediamarkt"|3
"AEG AGE62221AW"|"white"|"AEG AGE62221AW Fagyasztószekrény, 194 l, 5 fiók + 1 rekesz"|"AEG"|"Freezer"|"A++"|192|24|60|155|67|NA|1|NA|194|136990|"https://edigital.hu/fagyasztoszekreny/aeg-age62221aw-fagyasztoszekreny-194-l-5-fiok-1-rekesz-p557501"|557501|NA|NA|NA|"edigital"|4
"AEG AGE62221AW"|"white"|"AEG AGE62221AW fagyasztószekrény"|"AEG"|"Freezer"|"A++"|192|24|60|155|67|NA|NA|NA|194|NA|NA|NA|134796|"https://www.mediamarkt.hu/hu/product/_aeg-age62221aw-fagyaszt%C3%B3szekr%C3%A9ny-1255788.html"|1255788|"mediamarkt"|4
"AEG AGE62516NX"|"grey"|"AEG AGE62516NX No Frost fagyasztószekrény"|"AEG"|"Freezer"|"A+"|292|24|60|185|67|73|NA|NA|229|NA|NA|NA|161796|"https://www.mediamarkt.hu/hu/product/_aeg-age62516nx-no-frost-fagyaszt%C3%B3szekr%C3%A9ny-1255791.html"|1255791|"mediamarkt"|5
"AEG RCB53421LW"|"white"|"AEG RCB53421LW Kombinált hûtõszekrény, 185 cm, A++"|"AEG"|"Refrigerator"|"A++"|242|24|60|184|65|66|2|220|109|134990|"https://edigital.hu/alulfagyasztos-huto/aeg-rcb53421lw-kombinalt-hutoszekreny-185-cm-p557509"|557509|NA|NA|NA|"edigital"|6
"AEG RCB53421LW"|"white"|"AEG RCB53421LW kombinált hûtõszekrény"|"AEG"|"Refrigerator"|"A++"|239|24|60|185|65|66|2|220|109|NA|NA|NA|130993|"https://www.mediamarkt.hu/hu/product/_aeg-rcb53421lw-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1255792.html"|1255792|"mediamarkt"|6
"AEG RCB53421LX"|"grey"|"AEG RCB53421LX Kombinált hûtõszekrény, 185 cm, A++"|"AEG"|"Refrigerator"|"A++"|242|24|60|184|65|66|2|220|109|152990|"https://edigital.hu/alulfagyasztos-huto/aeg-rcb53421lx-kombinalt-hutoszekreny-185-cm-p557510"|557510|NA|NA|NA|"edigital"|7
"AEG RCB53421LX"|"grey"|"AEG RCB53421LX alulfagyasztós hûtõszekrény, A++-[újszerû]"|"AEG"|"Refrigerator"|"A++"|239|NA|60|184|65|66|2|220|109|130990|"https://edigital.hu/alulfagyasztos-huto/aeg-rcb53421lx-alulfagyasztos-hutoszekreny-ujszeru-p663163"|663163|NA|NA|NA|"edigital"|7
"AEG RCB53421LX"|"grey"|"AEG RCB53421LX kombinált hûtõszekrény"|"AEG"|"Refrigerator"|"A++"|239|24|60|185|65|66|2|220|109|NA|NA|NA|149993|"https://www.mediamarkt.hu/hu/product/_aeg-rcb53421lx-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1255793.html"|1255793|"mediamarkt"|7
"AEG RCB53426TX"|"grey"|"AEG RCB53426TX No Frost kombinált hûtõszekrény"|"AEG"|"Refrigerator"|"A++"|239|24|60|184|65|NA|2|220|91|NA|NA|NA|176993|"https://www.mediamarkt.hu/hu/product/_aeg-rcb53426tx-no-frost-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1255794.html"|1255794|"mediamarkt"|8
"AEG RCB73821TY"|"black"|"AEG RCB73821TY No Frost kombinált hûtõszekrény"|"AEG"|"Refrigerator"|"A++"|274|24|60|201|65|NA|2|244|94|NA|NA|NA|179799|"https://www.mediamarkt.hu/hu/product/_aeg-rcb73821ty-no-frost-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1287122.html"|1287122|"mediamarkt"|9
"AEG RCB83724MX"|"grey"|"AEG RCB83724MX No Frost kombinált hûtõszekrény"|"AEG"|"Refrigerator"|"A++"|248|24|60|200|65|NA|2|250|91|NA|NA|NA|231993|"https://www.mediamarkt.hu/hu/product/_aeg-rcb83724mx-no-frost-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1255795.html"|1255795|"mediamarkt"|10
"AEG RCB93734KX"|"grey"|"AEG RCB93734KX No Frost hûtõszekrény"|"AEG"|"Refrigerator"|"A+++"|165|24|60|200|65|82|NA|250|91|NA|NA|NA|272796|"https://www.mediamarkt.hu/hu/product/_aeg-rcb93734kx-no-frost-h%C5%B1t%C5%91szekr%C3%A9ny-1255796.html"|1255796|"mediamarkt"|11
"AEG RDB72321AX"|"grey"|"AEG RDB72321AX Kombinált hûtõszekrény, 140 cm, A++"|"AEG"|"Refrigerator"|"A++"|168|24|54|140|60|46|2|180|43|99990|"https://edigital.hu/felulfagyasztos-huto/aeg-rdb72321ax-kombinalt-hutoszekreny-140-cm-p509781"|509781|NA|NA|NA|"edigital"|12
"AEG RDB72321AX"|"grey"|"AEG RDB72321AX felülfagyasztós hûtõszekrény"|"AEG"|"Refrigerator"|"A++"|183|24|54|140|60|46|2|180|43|NA|NA|NA|99993|"https://www.mediamarkt.hu/hu/product/_aeg-rdb72321ax-fel%C3%BClfagyaszt%C3%B3s-h%C5%B1t%C5%91szekr%C3%A9ny-1229318.html"|1229318|"mediamarkt"|12
"AEG RKE63221DW"|"white"|"AEG RKE63221DW hûtõszekrény"|"AEG"|"Refrigerator"|"A++"|109|24|60|155|67|56|1|314|NA|NA|NA|NA|118796|"https://www.mediamarkt.hu/hu/product/_aeg-rke63221dw-h%C5%B1t%C5%91szekr%C3%A9ny-1255783.html"|1255783|"mediamarkt"|13
"AEG RKE63221DX"|"grey"|"AEG RKE63221DX Hûtõszekrény, 155 cm, A++"|"AEG"|"Refrigerator"|"A++"|NA|24|60|155|67|55|1|314|0|124990|"https://edigital.hu/egyajtos-huto/aeg-rke63221dx-hutoszekreny-155-cm-p557496"|557496|NA|NA|NA|"edigital"|14
"AEG RKE63221DX"|"grey"|"AEG RKE63221DX hûtõszekrény"|"AEG"|"Refrigerator"|"A++"|109|24|60|155|67|56|1|314|NA|NA|NA|NA|124793|"https://www.mediamarkt.hu/hu/product/_aeg-rke63221dx-h%C5%B1t%C5%91szekr%C3%A9ny-1255784.html"|1255784|"mediamarkt"|14
