item_name_short	item_name	producer	type	energy_class	energy_consumption	guarantee_month	colour	width_cm	height_cm	depth_cm	weight_kg	n_doors	cooling_capacity_l	freezing_capacity_l	item_price_edigital	website_category_edigital	link_edigital	articleID_edigital	item_price_mediamarkt	website_category_mediamarkt	link_mediamarkt	articleID_mediamarkt
AEG ABE81816NC	AEG ABE81816NC Beépíthető fagyasztószekrény, NoFrost, 178 cm, A+	AEG	Freezer	A+	303 /év	24	white	NA	NA	NA	NA	1 db	NA	204 l	219 990 Ft	edigital_refrigerator	https://edigital.hu/beepitheto-huto/aeg-abe81816nc-beepitheto-fagyasztoszekreny-nofrost-178-cm-p563079	563079	NA	NA	NA	NA
AEG AGB62511NW	AEG AGB62511NW fagyasztószekrény	AEG	Freezer	A+	292 kWh	12	white	60 cm	190 cm	70 cm	71 kg	1	NA	229 l	NA	NA	NA	NA	154799	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_aeg-agb62511nw-fagyaszt%C3%B3szekr%C3%A9ny-1255789.html	1255789
AEG AGE52516NX	AEG AGE52516NX No Frost fagyasztószekrény	AEG	Freezer	A+	292 kWh	24	grey	60 cm	185 cm	67 cm	NA	1	NA	229 l	NA	NA	NA	NA	154799	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_aeg-age52516nx-no-frost-fagyaszt%C3%B3szekr%C3%A9ny-1255790.html	1255790
AEG AGE62221AW	AEG AGE62221AW Fagyasztószekrény, 194 l, 5 fiók + 1 rekesz	AEG	Freezer	A++	192/év	24	white	59,5	155	66,8	NA	1 db	NA	194 l	136 990 Ft	edigital_refrigerator	https://edigital.hu/fagyasztoszekreny/aeg-age62221aw-fagyasztoszekreny-194-l-5-fiok-1-rekesz-p557501	557501	NA	NA	NA	NA
AEG AGE62221AW	AEG AGE62221AW fagyasztószekrény	AEG	Freezer	A++	192 kWh	24	white	60 cm	155 cm	67 cm	NA	NA	NA	194 l	NA	NA	NA	NA	134796	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_aeg-age62221aw-fagyaszt%C3%B3szekr%C3%A9ny-1255788.html	1255788
AEG AGE62516NX	AEG AGE62516NX No Frost fagyasztószekrény	AEG	Freezer	A+	292 kWh	24	grey	60 cm	185 cm	67 cm	73.1 kg	NA	NA	229 l	NA	NA	NA	NA	161796	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_aeg-age62516nx-no-frost-fagyaszt%C3%B3szekr%C3%A9ny-1255791.html	1255791
AEG RCB53421LW	AEG RCB53421LW Kombinált hűtőszekrény, 185 cm, A++	AEG	Refrigerator	A++	242	24	white	59,5	184,5	64,7	66,1	2 db	220 l	109 l	134 990 Ft	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/aeg-rcb53421lw-kombinalt-hutoszekreny-185-cm-p557509	557509	NA	NA	NA	NA
AEG RCB53421LW	AEG RCB53421LW kombinált hűtőszekrény	AEG	Refrigerator	A++	239 kWh	24	white	60 cm	185 cm	65 cm	66.1 kg	2	220 l	109 l	NA	NA	NA	NA	130993	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_aeg-rcb53421lw-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1255792.html	1255792
AEG RCB53421LX	AEG RCB53421LX Kombinált hűtőszekrény, 185 cm, A++	AEG	Refrigerator	A++	242 kWh/év	24	grey	59,5	184,5	64,7	66,1	2 db	220 l	109 l	152 990 Ft	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/aeg-rcb53421lx-kombinalt-hutoszekreny-185-cm-p557510	557510	NA	NA	NA	NA
AEG RCB53421LX	AEG RCB53421LX alulfagyasztós hűtőszekrény, A++-[újszerű]	AEG	Refrigerator	A++	239 kWh/év	NA	grey	59,5	184,5	64,7	66,1	2 db	220 l	109 l	130 990 Ft	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/aeg-rcb53421lx-alulfagyasztos-hutoszekreny-ujszeru-p663163	663163	NA	NA	NA	NA
