item_name	item_price	item_attribute_name	item_attribute	website_category	link
Gorenje RK4172ANX aulfagyasztós hűtőszekrény, A++	89 990 Ft	Cikkszám	574543	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/gorenje-rk4172anx-aulfagyasztos-hutoszekreny-p574543
Gorenje RK4172ANX aulfagyasztós hűtőszekrény, A++	89 990 Ft	Gyártó	GORENJE	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/gorenje-rk4172anx-aulfagyasztos-hutoszekreny-p574543
Gorenje RK4172ANX aulfagyasztós hűtőszekrény, A++	89 990 Ft	Garancia	3 éves	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/gorenje-rk4172anx-aulfagyasztos-hutoszekreny-p574543
Gorenje RK4172ANX aulfagyasztós hűtőszekrény, A++	89 990 Ft	Kivitel	Szabadon álló	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/gorenje-rk4172anx-aulfagyasztos-hutoszekreny-p574543
Gorenje RK4172ANX aulfagyasztós hűtőszekrény, A++	89 990 Ft	Típus	Kombinált hűtő-fagyasztó	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/gorenje-rk4172anx-aulfagyasztos-hutoszekreny-p574543
Gorenje RK4172ANX aulfagyasztós hűtőszekrény, A++	89 990 Ft	Energiaosztály	A++	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/gorenje-rk4172anx-aulfagyasztos-hutoszekreny-p574543
Gorenje RK4172ANX aulfagyasztós hűtőszekrény, A++	89 990 Ft	Energiafogyasztás (kWh)	0,53 kWh 193 kWh/év	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/gorenje-rk4172anx-aulfagyasztos-hutoszekreny-p574543
Gorenje RK4172ANX aulfagyasztós hűtőszekrény, A++	89 990 Ft	Egyéb jellemzők	LED belső világítás, Mechanikus vezérlés, Inverter kompresszor	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/gorenje-rk4172anx-aulfagyasztos-hutoszekreny-p574543
Gorenje RK4172ANX aulfagyasztós hűtőszekrény, A++	89 990 Ft	Tartozékok	tojástartó, jégkockatartó	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/gorenje-rk4172anx-aulfagyasztos-hutoszekreny-p574543
Gorenje RK4172ANX aulfagyasztós hűtőszekrény, A++	89 990 Ft	Szín	inox	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/gorenje-rk4172anx-aulfagyasztos-hutoszekreny-p574543
