item_name	item_price	item_attribute_name	item_attribute	website_category	link
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Készülék típusa:	Kombinált hűtőszekrény	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Csillagok száma:	4 csillagos	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Hűtési rendszer:	Statikus	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Nettó kapacitás:	171 l	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Visszamelegedési idő:	17 óra	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Cikkszám:	1112122	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Ellenőrzés típusa:	Mechanikus	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Leolvasztás a hűtőtérben:	Automatikus	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Rekeszek száma (hűtő):	1	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Ajtórekeszek száma:	3	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Polcok száma (hűtő):	3	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Polc anyaga:	Üveg	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Fagyasztási kapacitás:	3 kg / 24 h	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Fagyasztórekesz helyzete:	Felülfagyasztós	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Polcok száma:	1	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Belső világítás:	Igen	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Különleges jellemzők:	Széles zöldségtároló fiók, Megfordítható ajtónyitás, SpacePlus tárolórendszer	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Hőmérséklet szabályozás:	Igen	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Méretek (Szé / Ma / Mé):	50 cm x 121 cm x 61 cm	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Szín:	Fehér	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Kábelhossz:	1.6 m	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Szélesség:	50 cm	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Magasság:	121 cm	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Mélység:	61 cm	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Állítható lábak:	Igen - csak első	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Tömeg:	36.6 kg	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Jogi megjegyzések:	A termékek mellé Media Markt által kiállított jótállási jegyet mellékelünk, amely megfelel a mindenkor hatályos jogszabályi előírásoknak. Kérjük, hogy a termék mellett található gyártói és a Media Markt által kiállított jótállási jegyet, továbbá az ellenérték megfizetését igazoló bizonylatot (számla) együtt őrizze meg. A Media Markt által kiállított jótállási jeggyel a garanciális igények (jótállás, kellékszavatosság) teljeskörűen érvényesíthetők mind a gyártó szervizpartnereken, mind a Media Markt áruházak vevőszolgálatán keresztül.	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Gyártói garancia:	24 hónap	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Gyártói garancia hossza (hónap):	24	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Gyártó:	ZANUSSI	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Energiaosztály:	A+	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Éves energiafogyasztás:	205 kWh	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Nettó hűtő űrtartalom:	130 l	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Nettó fagyasztó űrtartalom:	41 l	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
ZANUSSI ZRT 18100 WA kombinált hűtőszekrény	61993	Csillagok száma:	4 csillagos	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_zanussi-zrt-18100-wa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1112122.html
