"common_item_id"|"common_item_name"|"item_name_short"|"colour"|"producer"|"type"|"energy_class"|"energy_consumption"|"guarantee_month"|"width_cm"|"height_cm"|"depth_cm"|"weight_kg"|"n_doors"|"cooling_capacity_l"|"freezing_capacity_l"|"total_capacity"|"website"|"item_price"|"link"
1|"AEG ABE81816NC white"|"AEG ABE81816NC"|"white"|"AEG"|"Freezer"|"A+"|303|24|NA|NA|NA|NA|1|NA|204|204|"edigital"|219990|"https://edigital.hu/beepitheto-huto/aeg-abe81816nc-beepitheto-fagyasztoszekreny-nofrost-178-cm-p563079"
2|"AEG AGB62511NW white"|"AEG AGB62511NW"|"white"|"AEG"|"Freezer"|"A+"|292|12|60|190|70|71|1|NA|229|229|"mediamarkt"|154799|"https://www.mediamarkt.hu/hu/product/_aeg-agb62511nw-fagyaszt%C3%B3szekr%C3%A9ny-1255789.html"
3|"AEG AGE52516NX grey"|"AEG AGE52516NX"|"grey"|"AEG"|"Freezer"|"A+"|292|24|60|185|67|NA|1|NA|229|229|"mediamarkt"|154799|"https://www.mediamarkt.hu/hu/product/_aeg-age52516nx-no-frost-fagyaszt%C3%B3szekr%C3%A9ny-1255790.html"
4|"AEG AGE62221AW white"|"AEG AGE62221AW"|"white"|"AEG"|"Freezer"|"A++"|192|24|60|155|67|NA|1|NA|194|194|"edigital"|136990|"https://edigital.hu/fagyasztoszekreny/aeg-age62221aw-fagyasztoszekreny-194-l-5-fiok-1-rekesz-p557501"
4|"AEG AGE62221AW white"|"AEG AGE62221AW"|"white"|"AEG"|"Freezer"|"A++"|192|24|60|155|67|NA|1|NA|194|194|"mediamarkt"|134796|"https://www.mediamarkt.hu/hu/product/_aeg-age62221aw-fagyaszt%C3%B3szekr%C3%A9ny-1255788.html"
5|"AEG AGE62516NX grey"|"AEG AGE62516NX"|"grey"|"AEG"|"Freezer"|"A+"|292|24|60|185|67|73|NA|NA|229|229|"mediamarkt"|161796|"https://www.mediamarkt.hu/hu/product/_aeg-age62516nx-no-frost-fagyaszt%C3%B3szekr%C3%A9ny-1255791.html"
6|"AEG RCB53421LW white"|"AEG RCB53421LW"|"white"|"AEG"|"Refrigerator"|"A++"|242|24|60|185|65|66|2|220|109|329|"edigital"|134990|"https://edigital.hu/alulfagyasztos-huto/aeg-rcb53421lw-kombinalt-hutoszekreny-185-cm-p557509"
6|"AEG RCB53421LW white"|"AEG RCB53421LW"|"white"|"AEG"|"Refrigerator"|"A++"|242|24|60|185|65|66|2|220|109|329|"mediamarkt"|130993|"https://www.mediamarkt.hu/hu/product/_aeg-rcb53421lw-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1255792.html"
7|"AEG RCB53421LX grey"|"AEG RCB53421LX"|"grey"|"AEG"|"Refrigerator"|"A++"|242|24|60|185|65|66|2|220|109|329|"edigital"|152990|"https://edigital.hu/alulfagyasztos-huto/aeg-rcb53421lx-kombinalt-hutoszekreny-185-cm-p557510"
7|"AEG RCB53421LX grey"|"AEG RCB53421LX"|"grey"|"AEG"|"Refrigerator"|"A++"|242|24|60|185|65|66|2|220|109|329|"edigital"|130990|"https://edigital.hu/alulfagyasztos-huto/aeg-rcb53421lx-alulfagyasztos-hutoszekreny-ujszeru-p663163"
